timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861914873123169,0.00376,0.00019,0.00066,0.00000,0.00000,0.00072,0.00534
1403715278.911309242248535,0.00311,0.00011,0.00282,0.00000,0.00686,0.00024,0.01314
1403715278.961056470870972,0.00310,0.00023,0.00040,0.00264,0.00000,0.00026,0.00663
1403715279.010902643203735,0.00365,0.00016,0.00005,0.00229,0.00000,0.00018,0.00635
1403715279.060721158981323,0.00266,0.00014,0.00012,0.00257,0.00000,0.00022,0.00571
1403715279.110718965530396,0.00323,0.00015,0.00048,0.00232,0.00000,0.00022,0.00640
1403715279.160812616348267,0.00264,0.00015,0.00013,0.00268,0.00000,0.00032,0.00592
1403715279.210793256759644,0.00305,0.00017,0.00001,0.00242,0.00000,0.00047,0.00611
1403715279.260842323303223,0.00316,0.00015,0.00009,0.00250,0.00488,0.00042,0.01120
1403715279.310854434967041,0.00476,0.00019,0.00004,0.00317,0.00000,0.00060,0.00877
1403715279.361166000366211,0.00398,0.00017,0.00010,0.00331,0.00618,0.00035,0.01410
1403715279.411164760589600,0.00366,0.00019,0.00110,0.00395,0.00870,0.00070,0.01831
1403715279.461361646652222,0.00413,0.00039,0.00004,0.00588,0.00000,0.00067,0.01111
1403715279.511419057846069,0.00352,0.00018,0.01088,0.00613,0.00136,0.00036,0.02243
1403715279.561382055282593,0.00328,0.00018,0.00017,0.00662,0.00000,0.00046,0.01072
1403715279.611284255981445,0.00339,0.00017,0.00006,0.00583,0.00000,0.00037,0.00982
1403715279.661306858062744,0.00364,0.00018,0.00047,0.00576,0.00195,0.00052,0.01252
1403715279.711260080337524,0.00332,0.00020,0.00003,0.00650,0.00000,0.00064,0.01069
1403715279.761264085769653,0.00363,0.00021,0.00004,0.00655,0.00000,0.00051,0.01095
1403715279.811298847198486,0.00367,0.00021,0.00004,0.00603,0.00000,0.00051,0.01047
1403715279.861259937286377,0.00299,0.00018,0.00004,0.00603,0.00000,0.00041,0.00965
1403715279.911150693893433,0.00348,0.00019,0.00003,0.00703,0.00000,0.00096,0.01169
1403715279.961173772811890,0.00316,0.00020,0.00004,0.00634,0.00003,0.00065,0.01044
1403715280.011151790618896,0.00421,0.00020,0.00002,0.00599,0.00000,0.00071,0.01113
1403715280.060986042022705,0.00309,0.00018,0.00139,0.00603,0.00141,0.00059,0.01269
1403715280.110870361328125,0.00379,0.00019,0.01096,0.00624,0.00006,0.00087,0.02211
1403715280.161269187927246,0.00302,0.00019,0.00003,0.00656,0.00000,0.00050,0.01030
1403715280.211647748947144,0.00345,0.00020,0.00011,0.00626,0.00000,0.00045,0.01047
1403715280.261992692947388,0.00349,0.00022,0.00054,0.00574,0.00039,0.00040,0.01078
1403715280.312196969985962,0.00431,0.00020,0.00004,0.00630,0.00000,0.00045,0.01129
1403715280.362173795700073,0.00384,0.00022,0.00003,0.00551,0.00000,0.00043,0.01004
1403715280.412114143371582,0.00381,0.00022,0.00061,0.00516,0.00016,0.00035,0.01030
1403715280.462018966674805,0.00388,0.00018,0.00003,0.00545,0.00000,0.00041,0.00995
1403715280.511831998825073,0.00320,0.00019,0.00008,0.00613,0.00000,0.00071,0.01031
1403715280.561668872833252,0.00280,0.00018,0.00133,0.00534,0.00000,0.00069,0.01035
1403715280.611687421798706,0.00331,0.00020,0.00021,0.00512,0.00000,0.00041,0.00925
1403715280.661579132080078,0.00317,0.00018,0.00090,0.00478,0.00120,0.00037,0.01060
1403715280.711590051651001,0.00343,0.00017,0.00719,0.00539,0.00559,0.00033,0.02210
1403715280.761549472808838,0.00346,0.00020,0.00322,0.00631,0.00123,0.00041,0.01483
1403715280.811531305313110,0.00364,0.00026,0.00026,0.00611,0.00024,0.00039,0.01090
1403715280.861559629440308,0.00303,0.00018,0.00016,0.00603,0.00025,0.00052,0.01018
1403715280.911590576171875,0.00332,0.00018,0.00078,0.00616,0.00006,0.00057,0.01107
1403715280.961668968200684,0.00334,0.00018,0.00061,0.00566,0.00020,0.00039,0.01038
1403715281.011685609817505,0.00319,0.00019,0.00068,0.00509,0.00000,0.00046,0.00961
1403715281.061686515808105,0.00305,0.00019,0.00055,0.00539,0.00368,0.00043,0.01328
