timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.66214 0.006193 -0.030175 0.025532 0.568551 -0.589535 0.393444 0.417614 0.0007647992 -0.0000000111 -0.0000000024 0.0007648307 0.0000000086 0.0007647968 0.0115937113 0.0000001150 -0.0000142357 0.0115932563 0.0000649391 0.0026764232
1403715278.71214 0.009154 -0.038947 0.036947 0.566417 -0.589650 0.396016 0.417919 0.0008039767 -0.0000000162 -0.0000000035 0.0008040298 0.0000000136 0.0008039743 0.0137945236 0.0000002207 -0.0000235852 0.0137937565 0.0000947984 0.0027057474
1403715278.76214 0.012452 -0.048660 0.051580 0.563947 -0.588793 0.399412 0.419233 0.0008451429 -0.0000000212 -0.0000000049 0.0008452274 0.0000000233 0.0008451426 0.0164054759 0.0000003789 -0.0000358436 0.0164042668 0.0001331489 0.0027388228
1403715278.81214 0.016005 -0.058944 0.068562 0.562370 -0.587887 0.401857 0.420286 0.0008882952 -0.0000000264 -0.0000000064 0.0008884242 0.0000000367 0.0008882982 0.0194762808 0.0000005958 -0.0000512806 0.0194744930 0.0001802420 0.0027759763
1403715278.86185 0.011099 -0.037502 0.084891 0.557905 -0.588205 0.405595 0.422196 0.0007242455 0.0000095928 -0.0001148664 0.0001566194 0.0000104428 0.0001825794 0.0028411922 -0.0000596438 0.0000519209 0.0031879042 -0.0000490801 0.0027695933
1403715278.91134 0.014882 -0.061177 0.093524 0.556490 -0.588192 0.408835 0.420954 0.0003801699 0.0000022144 -0.0001146715 0.0000257554 -0.0000002845 0.0000523254 0.0025526756 -0.0000029901 0.0000085146 0.0025691477 0.0000117431 0.0026118592
1403715278.96112 0.015326 -0.069585 0.116084 0.556572 -0.588161 0.409011 0.420718 0.0003781953 -0.0000003336 -0.0001137845 0.0000222502 0.0000004369 0.0000502687 0.0025508318 -0.0000025175 0.0000079436 0.0025673648 0.0000079580 0.0026053108
1403715279.01099 0.015692 -0.076790 0.132195 0.557161 -0.587560 0.408362 0.421409 0.0003753504 -0.0000006943 -0.0001149113 0.0000197400 0.0000002789 0.0000493450 0.0025500702 -0.0000024098 0.0000075231 0.0025675245 0.0000043808 0.0026070145
1403715279.06085 0.016614 -0.083488 0.143495 0.557721 -0.587693 0.407558 0.421260 0.0003725566 -0.0000011024 -0.0001161149 0.0000172072 0.0000002046 0.0000485391 0.0025491303 -0.0000021259 0.0000066499 0.0025672924 0.0000019515 0.0026070552
1403715279.11087 0.018053 -0.090594 0.150038 0.557914 -0.587602 0.406982 0.421688 0.0003703180 -0.0000013323 -0.0001168259 0.0000149033 0.0000001590 0.0000475735 0.0025481544 -0.0000018247 0.0000056803 0.0025668439 0.0000008249 0.0026028715
1403715279.16092 0.018990 -0.097046 0.149923 0.558778 -0.587241 0.406024 0.421972 0.0003685586 -0.0000008967 -0.0001176538 0.0000132670 -0.0000000608 0.0000470691 0.0025477540 -0.0000012859 0.0000044219 0.0025650159 0.0000021888 0.0025939552
1403715279.21088 0.019792 -0.102980 0.145774 0.559702 -0.587180 0.404662 0.422140 0.0003669223 -0.0000003880 -0.0001184970 0.0000119386 -0.0000002559 0.0000468006 0.0025473163 -0.0000007592 0.0000034047 0.0025620734 0.0000039145 0.0025864054
1403715279.26088 0.021206 -0.108083 0.136996 0.560217 -0.586896 0.403979 0.422506 0.0003648471 -0.0000004275 -0.0001190167 0.0000098235 -0.0000002764 0.0000463193 0.0025455924 -0.0000004217 0.0000018820 0.0025585225 0.0000050057 0.0025763314
1403715279.31086 0.022002 -0.113379 0.131602 0.560814 -0.587294 0.403313 0.421796 0.0003637213 -0.0000002062 -0.0001197065 0.0000088814 -0.0000003785 0.0000462323 0.0025449643 -0.0000002253 0.0000010553 0.0025557480 0.0000048597 0.0025693447
1403715279.36114 0.022439 -0.119271 0.127709 0.561105 -0.587985 0.402953 0.420790 0.0003623271 -0.0000007779 -0.0001206434 0.0000080538 -0.0000001911 0.0000464557 0.0025438617 0.0000002868 0.0000006260 0.0025524346 0.0000031867 0.0025638559
1403715279.41111 0.022263 -0.125002 0.122369 0.560894 -0.588024 0.403729 0.420272 0.0003617009 -0.0000015458 -0.0001207581 0.0000069492 0.0000001443 0.0000461219 0.0025428890 0.0000003298 -0.0000000307 0.0025491869 0.0000003692 0.0025569859
1403715279.46130 0.022199 -0.128923 0.120524 0.561398 -0.588526 0.403330 0.419279 0.0003610105 -0.0000016737 -0.0001212743 0.0000064500 0.0000002453 0.0000463347 0.0025423095 0.0000002761 -0.0000003103 0.0025474649 -0.0000015032 0.0025542722
1403715279.51136 0.020855 -0.132486 0.118932 0.561594 -0.588491 0.403604 0.418802 0.0003603381 -0.0000019160 -0.0001214932 0.0000057730 0.0000004354 0.0000462703 0.0025405766 0.0000004278 -0.0000003032 0.0025442751 -0.0000031146 0.0025487529
1403715279.56132 0.020784 -0.135971 0.120084 0.561945 -0.587987 0.403280 0.419350 0.0003603766 -0.0000012465 -0.0001212784 0.0000055458 0.0000002336 0.0000460428 0.0025398144 0.0000004264 -0.0000004650 0.0025425391 -0.0000042075 0.0025464683
1403715279.61123 0.020349 -0.139109 0.122298 0.562249 -0.588152 0.402811 0.419161 0.0003599673 -0.0000010878 -0.0001216515 0.0000053520 0.0000002086 0.0000462744 0.0025389436 0.0000005784 -0.0000006616 0.0025409301 -0.0000049974 0.0025440220
