# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.66214 0.008551 -0.026155 0.030659 0.567374 -0.590278 0.393438 0.418167 0.0006280024 -0.0000000076 -0.0000000019 0.0006280269 0.0000000070 0.0006280014 0.0059881800 0.0000001057 -0.0000106479 0.0059878890 0.0000330590 0.0025905448
1403715278.71214 0.011497 -0.034524 0.042336 0.565216 -0.590388 0.396047 0.418472 0.0006591854 -0.0000000112 -0.0000000027 0.0006592265 0.0000000112 0.0006591847 0.0070577184 0.0000001926 -0.0000166298 0.0070572037 0.0000504602 0.0026082995
1403715278.76214 0.014750 -0.043806 0.057230 0.562722 -0.589526 0.399478 0.419787 0.0006923596 -0.0000000146 -0.0000000037 0.0006924249 0.0000000190 0.0006923609 0.0083724998 0.0000003205 -0.0000245365 0.0083716605 0.0000734330 0.0026286620
1403715278.81214 0.018231 -0.053627 0.074471 0.561121 -0.588615 0.401958 0.420839 0.0007275228 -0.0000000180 -0.0000000047 0.0007276226 0.0000000298 0.0007275270 0.0099681768 0.0000004937 -0.0000345789 0.0099669060 0.0001022988 0.0026518940
1403715278.86163 0.013761 -0.042405 0.091859 0.556970 -0.588879 0.405713 0.422377 0.0006207360 0.0000088742 -0.0000904921 0.0001399125 0.0000099392 0.0001630610 0.0027873337 -0.0000430101 0.0000237624 0.0029543806 -0.0000287212 0.0026570518
1403715278.91131 0.014345 -0.062197 0.101702 0.556125 -0.588964 0.408098 0.421072 0.0003755843 0.0000008209 -0.0001140727 0.0000220936 0.0000002305 0.0000519418 0.0025401228 -0.0000033044 0.0000057080 0.0025461224 -0.0000046872 0.0025870919
1403715278.96114 0.014785 -0.071497 0.123900 0.556107 -0.588832 0.408360 0.421027 0.0003740815 -0.0000010414 -0.0001137256 0.0000195308 0.0000006726 0.0000503340 0.0025393744 -0.0000030776 0.0000049239 0.0025464070 -0.0000055519 0.0025834666
1403715279.01103 0.015516 -0.079267 0.139877 0.556603 -0.588183 0.407812 0.421809 0.0003720732 -0.0000011857 -0.0001146823 0.0000177384 0.0000004676 0.0000493664 0.0025392769 -0.0000027276 0.0000042752 0.0025479127 -0.0000075647 0.0025865429
1403715279.06093 0.016685 -0.086484 0.151100 0.557098 -0.588272 0.407102 0.421718 0.0003699972 -0.0000014443 -0.0001157796 0.0000158147 0.0000003577 0.0000485350 0.0025387984 -0.0000022121 0.0000035094 0.0025481009 -0.0000083516 0.0025875110
1403715279.11095 0.018383 -0.093864 0.157298 0.557262 -0.588117 0.406606 0.422195 0.0003683321 -0.0000015734 -0.0001164524 0.0000139716 0.0000002798 0.0000475329 0.0025381497 -0.0000018009 0.0000028747 0.0025474636 -0.0000074671 0.0025840349
1403715279.16095 0.019640 -0.100101 0.156532 0.558108 -0.587749 0.405646 0.422514 0.0003669531 -0.0000010711 -0.0001172507 0.0000126127 0.0000000086 0.0000469750 0.0025379941 -0.0000013089 0.0000021329 0.0025454753 -0.0000046265 0.0025762980
1403715279.21089 0.020773 -0.105835 0.151911 0.559026 -0.587715 0.404263 0.422674 0.0003655972 -0.0000005127 -0.0001181222 0.0000114263 -0.0000002261 0.0000466746 0.0025375864 -0.0000008669 0.0000015445 0.0025428448 -0.0000020662 0.0025695507
