# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861629009246826,0.00279,0.00009,0.00065,0.00000,0.00000,0.00027,0.00382
1403715278.911313533782959,0.00446,0.00012,0.00295,0.00000,0.00702,0.00025,0.01480
1403715278.961138725280762,0.00262,0.00014,0.00028,0.00226,0.00000,0.00019,0.00548
1403715279.011034727096558,0.00322,0.00015,0.00004,0.00250,0.00000,0.00033,0.00624
1403715279.060926914215088,0.00288,0.00016,0.00014,0.00242,0.00000,0.00025,0.00585
1403715279.110951185226440,0.00305,0.00014,0.00051,0.00240,0.00000,0.00023,0.00634
1403715279.160953521728516,0.00294,0.00014,0.00013,0.00234,0.00000,0.00025,0.00580
1403715279.210892677307129,0.00256,0.00015,0.00001,0.00243,0.00000,0.00041,0.00557
1403715279.260873556137085,0.00302,0.00015,0.00008,0.00250,0.00475,0.00052,0.01101
1403715279.310841560363770,0.00321,0.00015,0.00003,0.00353,0.00000,0.00064,0.00756
1403715279.361102819442749,0.00425,0.00021,0.00014,0.00372,0.00669,0.00043,0.01544
1403715279.411075830459595,0.00409,0.00037,0.00127,0.00409,0.00932,0.00059,0.01972
1403715279.461281776428223,0.00344,0.00020,0.00004,0.00577,0.00000,0.00072,0.01017
1403715279.511366128921509,0.00293,0.00018,0.01090,0.00583,0.00137,0.00043,0.02163
1403715279.561341762542725,0.00479,0.00025,0.00025,0.00634,0.00000,0.00055,0.01218
1403715279.611268281936646,0.00314,0.00017,0.00007,0.00607,0.00000,0.00045,0.00991
1403715279.661312580108643,0.00278,0.00018,0.00044,0.00682,0.00186,0.00052,0.01259
1403715279.711255311965942,0.00306,0.00018,0.00003,0.00628,0.00000,0.00061,0.01016
1403715279.761258840560913,0.00487,0.00018,0.00003,0.00608,0.00000,0.00041,0.01157
1403715279.811297655105591,0.00394,0.00023,0.00004,0.00685,0.00000,0.00057,0.01163
1403715279.861245155334473,0.00293,0.00023,0.00006,0.00591,0.00000,0.00038,0.00951
1403715279.911125183105469,0.00320,0.00028,0.00005,0.00638,0.00000,0.00074,0.01065
1403715279.961139678955078,0.00347,0.00033,0.00006,0.00617,0.00004,0.00058,0.01065
1403715280.011109113693237,0.00320,0.00026,0.00004,0.00713,0.00000,0.00064,0.01127
1403715280.060941457748413,0.00326,0.00019,0.00142,0.00602,0.00149,0.00051,0.01290
1403715280.110841035842896,0.00354,0.00023,0.01073,0.00765,0.00006,0.00061,0.02281
1403715280.161269187927246,0.00410,0.00021,0.00003,0.00632,0.00000,0.00042,0.01110
1403715280.211665153503418,0.00411,0.00032,0.00015,0.00595,0.00000,0.00041,0.01095
1403715280.262011289596558,0.00284,0.00025,0.00054,0.00654,0.00044,0.00043,0.01105
1403715280.312213897705078,0.00309,0.00019,0.00004,0.00585,0.00000,0.00042,0.00960
1403715280.362191677093506,0.00330,0.00031,0.00006,0.00638,0.00000,0.00051,0.01057
1403715280.412132740020752,0.00393,0.00025,0.00066,0.00550,0.00016,0.00035,0.01085
1403715280.462040901184082,0.00359,0.00025,0.00003,0.00807,0.00000,0.00058,0.01253
1403715280.511861324310303,0.00303,0.00019,0.00013,0.00583,0.00000,0.00082,0.01001
1403715280.561706781387329,0.00316,0.00028,0.00124,0.00562,0.00000,0.00061,0.01091
1403715280.611720800399780,0.00411,0.00019,0.00027,0.00537,0.00000,0.00042,0.01035
1403715280.661613702774048,0.00401,0.00023,0.00102,0.00506,0.00120,0.00036,0.01188
1403715280.711631059646606,0.00271,0.00019,0.00731,0.00545,0.00606,0.00037,0.02208
1403715280.761588335037231,0.00464,0.00019,0.00305,0.00612,0.00127,0.00059,0.01587
1403715280.811555624008179,0.00492,0.00024,0.00072,0.00635,0.00025,0.00042,0.01291
1403715280.861577749252319,0.00274,0.00018,0.00025,0.00717,0.00026,0.00048,0.01109
1403715280.911603450775146,0.00389,0.00027,0.00083,0.00618,0.00006,0.00056,0.01178
1403715280.961673259735107,0.00299,0.00018,0.00135,0.00585,0.00017,0.00036,0.01089
1403715281.011688232421875,0.00397,0.00020,0.00071,0.00559,0.00000,0.00049,0.01097
1403715281.061691045761108,0.00318,0.00023,0.00044,0.00508,0.00378,0.00072,0.01343
1403715281.111704826354980,0.00335,0.00017,0.00025,0.00593,0.00000,0.00074,0.01043
1403715281.161743164062500,0.00307,0.00018,0.00014,0.00555,0.00000,0.00042,0.00936
1403715281.211820363998413,0.00569,0.00029,0.00088,0.00508,0.00117,0.00041,0.01352
1403715281.261899948120117,0.00375,0.00018,0.00005,0.00539,0.00000,0.00051,0.00989
1403715281.311954021453857,0.00430,0.00020,0.00439,0.00558,0.00364,0.00042,0.01854
1403715281.362057924270630,0.00344,0.00020,0.00424,0.00558,0.00341,0.00036,0.01723
1403715281.412112712860107,0.00321,0.00019,0.00009,0.00659,0.00000,0.00053,0.01061
1403715281.462116241455078,0.00331,0.00021,0.00002,0.00683,0.00146,0.00040,0.01224
1403715281.512185096740723,0.00271,0.00023,0.00522,0.00718,0.00017,0.00050,0.01602
1403715281.562190532684326,0.00421,0.00033,0.00016,0.00781,0.00000,0.00055,0.01306
1403715281.612192392349243,0.00274,0.00020,0.00030,0.00691,0.00029,0.00045,0.01090
1403715281.662187337875366,0.00386,0.00025,0.00018,0.00642,0.00015,0.00048,0.01135
1403715281.712178468704224,0.00261,0.00021,0.00279,0.00559,0.00006,0.00068,0.01195
1403715281.762097835540771,0.00439,0.00018,0.00459,0.00413,0.00980,0.00051,0.02359
1403715281.812120437622070,0.00306,0.00025,0.00036,0.00539,0.00000,0.00064,0.00970
1403715281.862106323242188,0.00398,0.00024,0.00095,0.00528,0.00022,0.00056,0.01122
1403715281.912101268768311,0.00309,0.00024,0.00002,0.00508,0.00623,0.00055,0.01520
1403715281.962112426757812,0.00260,0.00019,0.00109,0.00549,0.00541,0.00046,0.01524
1403715282.012120723724365,0.00365,0.00020,0.00012,0.00677,0.00033,0.00078,0.01185
1403715282.062122821807861,0.00345,0.00020,0.00024,0.00703,0.00000,0.00045,0.01138
1403715282.112051486968994,0.00296,0.00033,0.00426,0.00612,0.00017,0.00048,0.01432
1403715282.162126541137695,0.00373,0.00024,0.00017,0.00645,0.00029,0.00046,0.01133
1403715282.212126731872559,0.00294,0.00023,0.00023,0.00693,0.00035,0.00049,0.01118
1403715282.262106418609619,0.00255,0.00020,0.00002,0.00802,0.00000,0.00073,0.01152
1403715282.312122106552124,0.00323,0.00033,0.01101,0.00718,0.00000,0.00068,0.02244
1403715282.362132549285889,0.00305,0.00019,0.00436,0.00702,0.00151,0.00061,0.01675
1403715282.412038326263428,0.00393,0.00031,0.00067,0.00687,0.00000,0.00043,0.01220
1403715282.462051153182983,0.00291,0.00024,0.00074,0.00638,0.00045,0.00037,0.01108
1403715282.612073183059692,0.00425,0.00032,0.00087,0.00507,0.00000,0.00047,0.01097
1403715282.662057876586914,0.00387,0.00019,0.00023,0.00517,0.00140,0.00040,0.01126
1403715282.712044954299927,0.00379,0.00020,0.00051,0.00613,0.00000,0.00051,0.01114
1403715282.812045335769653,0.00308,0.00025,0.00073,0.00043,0.00024,0.00094,0.00568
1403715282.862045526504517,0.00354,0.00018,0.00174,0.00000,0.00377,0.00046,0.00968
1403715282.912043094635010,0.00349,0.00033,0.00016,0.00696,0.00000,0.00049,0.01144
1403715282.962039947509766,0.00252,0.00018,0.00144,0.00472,0.00000,0.00047,0.00933
1403715283.012018680572510,0.00424,0.00021,0.00063,0.00461,0.00000,0.00045,0.01016
1403715283.062005996704102,0.00295,0.00019,0.00438,0.00425,0.00495,0.00065,0.01736
1403715283.112009763717651,0.00408,0.00024,0.00131,0.00500,0.00538,0.00130,0.01730
1403715283.162004709243774,0.00343,0.00021,0.00022,0.00955,0.00000,0.00060,0.01402
1403715283.211992979049683,0.00411,0.00033,0.00012,0.00679,0.00015,0.00055,0.01205
1403715283.261954307556152,0.00429,0.00024,0.01052,0.00707,0.00056,0.00062,0.02330
1403715283.311947584152222,0.00350,0.00021,0.00029,0.00780,0.00000,0.00087,0.01268
1403715283.361922740936279,0.00348,0.00031,0.00021,0.00626,0.00000,0.00042,0.01068
1403715283.411843299865723,0.00342,0.00023,0.00021,0.00608,0.00000,0.00105,0.01099
1403715283.461789608001709,0.00368,0.00038,0.00060,0.00559,0.00000,0.00048,0.01073
1403715283.511745214462280,0.00364,0.00020,0.00051,0.00577,0.00000,0.00065,0.01077
1403715283.561697959899902,0.00328,0.00019,0.00015,0.00473,0.00000,0.00071,0.00905
1403715283.611697196960449,0.00437,0.00022,0.00096,0.00424,0.00000,0.00051,0.01030
1403715283.661754369735718,0.00329,0.00026,0.00401,0.00511,0.01154,0.00075,0.02496
1403715283.711795806884766,0.00353,0.00028,0.00302,0.00728,0.00000,0.00049,0.01459
1403715283.811869859695435,0.00377,0.00026,0.00005,0.00613,0.00000,0.00041,0.01062
1403715283.861877918243408,0.00427,0.00029,0.00009,0.00701,0.00000,0.00061,0.01227
1403715283.911939144134521,0.00530,0.00020,0.01195,0.00592,0.00000,0.00060,0.02397
1403715283.961984395980835,0.00401,0.00024,0.00011,0.01015,0.00000,0.00059,0.01510
1403715284.012020826339722,0.00372,0.00030,0.00006,0.00645,0.00000,0.00085,0.01138
1403715284.062051534652710,0.00290,0.00019,0.00001,0.00595,0.00000,0.00054,0.00958
1403715284.112057447433472,0.00285,0.00020,0.00002,0.00577,0.00000,0.00056,0.00939
1403715284.162054538726807,0.00680,0.00022,0.00121,0.00563,0.00000,0.00041,0.01427
1403715284.212022542953491,0.00324,0.00022,0.00002,0.00673,0.00093,0.00078,0.01192
1403715284.261991977691650,0.00282,0.00019,0.00001,0.00726,0.00000,0.00082,0.01110
1403715284.311976194381714,0.00357,0.00020,0.00129,0.00932,0.00259,0.00056,0.01753
1403715284.362007617950439,0.00402,0.00018,0.00249,0.00642,0.00000,0.00083,0.01395
1403715284.412015676498413,0.00392,0.00022,0.00003,0.00674,0.00000,0.00059,0.01150
1403715284.511985778808594,0.00484,0.00044,0.00798,0.00742,0.00028,0.00059,0.02154
1403715284.562005043029785,0.00367,0.00021,0.00986,0.00853,0.00000,0.00071,0.02297
1403715284.762017488479614,0.00384,0.00044,0.00002,0.00722,0.00000,0.00074,0.01227
1403715284.812014102935791,0.00390,0.00026,0.00050,0.00591,0.00032,0.00044,0.01134
1403715284.862006187438965,0.00330,0.00022,0.00002,0.00710,0.00000,0.00073,0.01137
1403715284.912021398544312,0.00327,0.00022,0.00002,0.00722,0.00000,0.00054,0.01127
1403715284.962021827697754,0.00327,0.00020,0.00001,0.00657,0.00000,0.00064,0.01070
1403715285.012026786804199,0.00308,0.00023,0.00003,0.00717,0.00000,0.00077,0.01128
1403715285.062034368515015,0.00355,0.00027,0.00018,0.00751,0.00000,0.00056,0.01206
1403715285.112039327621460,0.00338,0.00043,0.00003,0.00712,0.00159,0.00079,0.01334
1403715285.162081241607666,0.00331,0.00019,0.00266,0.00582,0.00018,0.00056,0.01273
1403715285.212118864059448,0.00391,0.00037,0.00005,0.00684,0.00000,0.00063,0.01179
1403715285.262233018875122,0.00276,0.00020,0.00619,0.00549,0.00006,0.00048,0.01519
1403715285.312271118164062,0.00315,0.00019,0.00901,0.00632,0.00200,0.00067,0.02134
1403715285.362287998199463,0.00343,0.00027,0.00015,0.00709,0.00023,0.00044,0.01160
1403715285.412291049957275,0.00375,0.00022,0.00002,0.00620,0.00000,0.00037,0.01056
1403715285.462285995483398,0.01098,0.00052,0.00003,0.00671,0.00000,0.00055,0.01878
1403715285.512285709381104,0.00343,0.00021,0.00008,0.00597,0.00000,0.00077,0.01046
1403715285.562281608581543,0.00380,0.00019,0.00001,0.00656,0.00000,0.00087,0.01143
1403715285.612264633178711,0.00311,0.00021,0.00001,0.00628,0.00000,0.00048,0.01010
1403715285.662249088287354,0.00316,0.00019,0.00009,0.00590,0.00000,0.00051,0.00984
1403715285.712230205535889,0.00296,0.00019,0.00002,0.00579,0.00000,0.00038,0.00933
