# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.66214 0.011917 -0.030967 0.026052 0.568591 -0.589652 0.392833 0.417968 0.0008039984 -0.0000000119 -0.0000000025 0.0008040317 0.0000000089 0.0008039957 0.0137387896 0.0000002091 -0.0000286214 0.0137383362 0.0000754813 0.0027054580
1403715278.71214 0.015423 -0.039887 0.037390 0.566463 -0.589765 0.395401 0.418276 0.0008451746 -0.0000000174 -0.0000000037 0.0008452306 0.0000000142 0.0008451718 0.0163243734 0.0000003596 -0.0000418506 0.0163236044 0.0001094508 0.0027384174
1403715278.76214 0.019294 -0.049762 0.051935 0.563999 -0.588907 0.398793 0.419593 0.0008883388 -0.0000000228 -0.0000000052 0.0008884280 0.0000000243 0.0008883381 0.0193709548 0.0000005760 -0.0000587434 0.0193697364 0.0001528610 0.0027754637
1403715278.81214 0.023448 -0.060220 0.068819 0.562427 -0.587999 0.401233 0.420647 0.0009334884 -0.0000000284 -0.0000000067 0.0009336246 0.0000000383 0.0009334911 0.0229322704 0.0000008651 -0.0000796335 0.0229304622 0.0002059447 0.0028169407
1403715278.86172 0.012025 -0.034895 0.084995 0.557239 -0.588940 0.405225 0.422407 0.0007247957 -0.0000085201 -0.0001130580 0.0001421890 0.0000062467 0.0001717737 0.0028595440 -0.0000737094 0.0000670556 0.0032628153 -0.0000537150 0.0028045490
1403715278.91253 0.012416 -0.054730 0.096468 0.558582 -0.588761 0.405145 0.420957 0.0003838285 0.0000029552 -0.0001135606 0.0000276429 -0.0000002232 0.0000538234 0.0025563287 -0.0000047189 0.0000117146 0.0025820122 0.0000155379 0.0026237271
1403715278.96241 0.013983 -0.063370 0.114887 0.558033 -0.588147 0.406204 0.421521 0.0003793023 0.0000026866 -0.0001148652 0.0000240230 0.0000000582 0.0000532307 0.0025535183 -0.0000035525 0.0000106518 0.0025803113 0.0000099520 0.0026214096
1403715279.01183 0.015038 -0.071119 0.128457 0.558183 -0.587496 0.406187 0.422246 0.0003761319 0.0000017567 -0.0001153174 0.0000209976 -0.0000001321 0.0000514264 0.0025518504 -0.0000029558 0.0000095252 0.0025796246 0.0000047668 0.0026250684
1403715279.06173 0.016387 -0.079207 0.139487 0.558378 -0.587614 0.405920 0.422080 0.0003729704 0.0000006104 -0.0001163478 0.0000178371 -0.0000001063 0.0000498560 0.0025503823 -0.0000022830 0.0000076596 0.0025788088 0.0000014623 0.0026221959
1403715279.11177 0.017943 -0.087493 0.146858 0.558367 -0.587606 0.405721 0.422298 0.0003704486 -0.0000001643 -0.0001170460 0.0000151650 -0.0000000685 0.0000483551 0.0025492423 -0.0000015719 0.0000062944 0.0025772972 0.0000003198 0.0026154907
1403715279.16196 0.018904 -0.095313 0.148459 0.559102 -0.587261 0.404994 0.422504 0.0003685984 -0.0000001045 -0.0001178966 0.0000133651 -0.0000002201 0.0000475361 0.0025488138 -0.0000006680 0.0000048511 0.0025741880 0.0000022969 0.0026044034
1403715279.21196 0.019405 -0.101843 0.144690 0.559915 -0.587152 0.403890 0.422634 0.0003669535 0.0000001908 -0.0001187041 0.0000119914 -0.0000003859 0.0000470980 0.0025484730 0.0000000512 0.0000038585 0.0025705122 0.0000039815 0.0025963069
1403715279.26179 0.019643 -0.106528 0.136238 0.560420 -0.586831 0.403610 0.422679 0.0003648643 0.0000001487 -0.0001191928 0.0000099319 -0.0000004308 0.0000465140 0.0025468550 0.0000004430 0.0000026568 0.0025660917 0.0000053076 0.0025846152
1403715279.31179 0.020078 -0.112023 0.130878 0.560947 -0.587214 0.403040 0.421992 0.0003637618 0.0000000641 -0.0001198205 0.0000090140 -0.0000004294 0.0000463418 0.0025461571 0.0000005842 0.0000018193 0.0025627092 0.0000055830 0.0025763228
1403715279.36180 0.020120 -0.117762 0.126527 0.561170 -0.587946 0.402751 0.420950 0.0003623975 -0.0000005328 -0.0001206749 0.0000081758 -0.0000002434 0.0000464807 0.0025449389 0.0000009412 0.0000013548 0.0025587285 0.0000041078 0.0025700230
1403715279.41185 0.020113 -0.121722 0.123862 0.561024 -0.588241 0.403361 0.420148 0.0003618965 -0.0000013027 -0.0001207884 0.0000074345 0.0000000365 0.0000462568 0.0025442820 0.0000008058 0.0000008302 0.0025561611 0.0000015232 0.0025651538
1403715279.46195 0.019445 -0.126028 0.120517 0.561478 -0.588616 0.403033 0.419331 0.0003605537 -0.0000014897 -0.0001216067 0.0000065115 0.0000002095 0.0000465507 0.0025425863 0.0000008390 0.0000004505 0.0025532377 -0.0000007662 0.0025591485
1403715279.51197 0.018413 -0.129633 0.119290 0.561634 -0.588651 0.403221 0.418892 0.0003600907 -0.0000017126 -0.0001216535 0.0000058502 0.0000003690 0.0000463778 0.0025407682 0.0000007792 0.0000005191 0.0025498072 -0.0000030736 0.0025538976
1403715279.56191 0.018135 -0.133404 0.120559 0.561958 -0.588109 0.402955 0.419473 0.0003601286 -0.0000010308 -0.0001214233 0.0000056266 0.0000001627 0.0000461422 0.0025399474 0.0000007383 0.0000003013 0.0025480609 -0.0000042344 0.0025516885
1403715279.61182 0.017581 -0.136715 0.122906 0.562274 -0.588278 0.402491 0.419259 0.0003597193 -0.0000008823 -0.0001217834 0.0000054251 0.0000001407 0.0000463697 0.0025390514 0.0000008534 0.0000000835 0.0025462193 -0.0000051421 0.0025491255
1403715279.66184 0.016787 -0.139046 0.125983 0.562646 -0.588200 0.402303 0.419049 0.0003594767 -0.0000007518 -0.0001219455 0.0000052489 0.0000001213 0.0000464521 0.0025381119 0.0000010091 -0.0000000874 0.0025444211 -0.0000059146 0.0025462888
1403715279.71181 0.015822 -0.140738 0.128796 0.562559 -0.588067 0.402480 0.419183 0.0003595220 -0.0000007413 -0.0001217539 0.0000050945 0.0000001390 0.0000462680 0.0025371616 0.0000011420 -0.0000002341 0.0025426548 -0.0000062222 0.0025424521
1403715279.76181 0.014958 -0.142254 0.132577 0.562613 -0.588126 0.402505 0.419005 0.0003593586 -0.0000007926 -0.0001218422 0.0000049718 0.0000001740 0.0000463112 0.0025362593 0.0000012814 -0.0000004314 0.0025412305 -0.0000066676 0.0025391521
1403715279.81186 0.013706 -0.143212 0.137352 0.562495 -0.588449 0.402570 0.418647 0.0003591563 -0.0000011284 -0.0001219889 0.0000048780 0.0000003034 0.0000464079 0.0025354238 0.0000013940 -0.0000005670 0.0025401137 -0.0000072124 0.0025364525
1403715279.86180 0.012344 -0.143323 0.142708 0.562818 -0.588549 0.402345 0.418288 0.0003588767 -0.0000010917 -0.0001222538 0.0000048064 0.0000003015 0.0000466037 0.0025347120 0.0000014656 -0.0000007095 0.0025391601 -0.0000074367 0.0025334095
1403715279.91168 0.011050 -0.143171 0.148839 0.563213 -0.588883 0.401749 0.417859 0.0003583934 -0.0000009885 -0.0001227813 0.0000047510 0.0000002754 0.0000470118 0.0025341146 0.0000015464 -0.0000009090 0.0025384092 -0.0000076178 0.0025307474
1403715279.96168 0.009884 -0.143251 0.155847 0.564459 -0.589827 0.399984 0.416537 0.0003570053 -0.0000006409 -0.0001244376 0.0000047111 0.0000001639 0.0000483313 0.0025336734 0.0000016797 -0.0000010983 0.0025377793 -0.0000078006 0.0025287569
1403715280.01163 0.008858 -0.143226 0.162288 0.566728 -0.592406 0.396616 0.413001 0.0003539467 -0.0000007050 -0.0001280567 0.0000046901 0.0000001987 0.0000513256 0.0025334288 0.0000018758 -0.0000013276 0.0025370470 -0.0000078372 0.0025271160
1403715280.06151 0.007896 -0.143488 0.168312 0.569775 -0.595500 0.392229 0.408524 0.0003499308 -0.0000006187 -0.0001325803 0.0000046790 0.0000001791 0.0000552824 0.0025332447 0.0000020949 -0.0000015388 0.0025359316 -0.0000079121 0.0025258454
1403715280.11143 0.006277 -0.144618 0.174517 0.573731 -0.597027 0.386331 0.406374 0.0003461663 0.0000018103 -0.0001365597 0.0000046580 -0.0000007801 0.0000589711 0.0025327634 0.0000022380 -0.0000018027 0.0025346129 -0.0000081472 0.0025242549
1403715280.16178 0.004518 -0.145916 0.181843 0.576649 -0.597289 0.382361 0.405614 0.0003439731 0.0000040368 -0.0001387456 0.0000046965 -0.0000017052 0.0000610995 0.0025328279 0.0000023528 -0.0000018961 0.0025339576 -0.0000084211 0.0025238647
1403715280.21212 0.002754 -0.148184 0.189942 0.579448 -0.595741 0.378508 0.407511 0.0003429914 0.0000077759 -0.0001395517 0.0000048193 -0.0000032579 0.0000619290 0.0025329790 0.0000024410 -0.0000019595 0.0025334555 -0.0000087299 0.0025234496
1403715280.26243 0.001281 -0.151405 0.198583 0.581166 -0.593582 0.376062 0.410468 0.0003431625 0.0000111981 -0.0001391230 0.0000049933 -0.0000046478 0.0000615485 0.0025333080 0.0000025353 -0.0000019938 0.0025330646 -0.0000090520 0.0025229943
1403715280.31252 0.000642 -0.155884 0.207050 0.582168 -0.591433 0.374821 0.413275 0.0003438262 0.0000138395 -0.0001381904 0.0000051614 -0.0000056802 0.0000606760 0.0025337866 0.0000026614 -0.0000020383 0.0025327663 -0.0000093540 0.0025225808
1403715280.36255 0.001005 -0.161553 0.215603 0.582248 -0.589466 0.374384 0.416358 0.0003449695 0.0000159264 -0.0001367675 0.0000053131 -0.0000064406 0.0000593391 0.0025344155 0.0000028277 -0.0000020820 0.0025324999 -0.0000096361 0.0025222549
1403715280.41250 0.002114 -0.167966 0.224201 0.581414 -0.588171 0.373896 0.419780 0.0003462467 0.0000177097 -0.0001351855 0.0000054562 -0.0000070502 0.0000578743 0.0025351828 0.0000030257 -0.0000021254 0.0025320805 -0.0000099085 0.0025220105
1403715280.46233 0.004009 -0.175657 0.231759 0.578701 -0.589906 0.374616 0.420451 0.0003470067 0.0000163493 -0.0001345298 0.0000052984 -0.0000064724 0.0000572369 0.0025361644 0.0000032250 -0.0000022418 0.0025318664 -0.0000101390 0.0025218493
1403715280.51225 0.006609 -0.184004 0.238982 0.573320 -0.593600 0.376510 0.420931 0.0003482970 0.0000130393 -0.0001334771 0.0000050009 -0.0000051210 0.0000562124 0.0025373634 0.0000034194 -0.0000023998 0.0025316943 -0.0000103847 0.0025216954
1403715280.56214 0.009412 -0.192526 0.246445 0.567224 -0.597971 0.377616 0.422012 0.0003494090 0.0000099532 -0.0001325000 0.0000047899 -0.0000038891 0.0000552859 0.0025387233 0.0000036071 -0.0000025376 0.0025314685 -0.0000106755 0.0025215767
1403715280.61212 0.012491 -0.201255 0.254241 0.559953 -0.603117 0.377949 0.424096 0.0003506877 0.0000069741 -0.0001312468 0.0000046493 -0.0000027145 0.0000541387 0.0025402291 0.0000038131 -0.0000026729 0.0025314444 -0.0000110413 0.0025215331
1403715280.66200 0.015307 -0.210156 0.262055 0.552548 -0.608657 0.375945 0.427659 0.0003515749 0.0000054626 -0.0001303056 0.0000046030 -0.0000021262 0.0000532975 0.0025418390 0.0000041105 -0.0000027801 0.0025315249 -0.0000114697 0.0025215515
1403715280.71195 0.016987 -0.221016 0.269833 0.544395 -0.614896 0.373415 0.431390 0.0003523800 0.0000037951 -0.0001294315 0.0000045627 -0.0000014922 0.0000525189 0.0025432890 0.0000043642 -0.0000027637 0.0025315212 -0.0000118211 0.0025215248
1403715280.76190 0.019210 -0.230995 0.276348 0.536174 -0.621618 0.369531 0.435380 0.0003526497 0.0000027431 -0.0001291503 0.0000045545 -0.0000011016 0.0000522675 0.0025454178 0.0000046698 -0.0000027774 0.0025320593 -0.0000122415 0.0025217129
1403715280.81187 0.021175 -0.241402 0.282276 0.527984 -0.628781 0.364782 0.439092 0.0003525643 0.0000017711 -0.0001292767 0.0000045503 -0.0000007453 0.0000523647 0.0025473722 0.0000050043 -0.0000027409 0.0025327425 -0.0000126648 0.0025219117
1403715280.86187 0.023667 -0.251889 0.287961 0.519406 -0.635221 0.360102 0.443889 0.0003530576 0.0000012757 -0.0001287200 0.0000045477 -0.0000005613 0.0000518724 0.0025494937 0.0000053317 -0.0000026675 0.0025335325 -0.0000130610 0.0025221032
1403715280.91188 0.026895 -0.261638 0.292904 0.511693 -0.641075 0.355282 0.448295 0.0003532753 0.0000010965 -0.0001284791 0.0000045368 -0.0000004953 0.0000516457 0.0025516446 0.0000057142 -0.0000025474 0.0025343419 -0.0000133948 0.0025222525
1403715280.96189 0.030933 -0.271602 0.297684 0.505035 -0.645893 0.351120 0.452191 0.0003536046 0.0000010316 -0.0001281082 0.0000045120 -0.0000004675 0.0000512983 0.0025536916 0.0000060816 -0.0000023644 0.0025351566 -0.0000136427 0.0025223615
1403715281.01187 0.034285 -0.280844 0.302239 0.498935 -0.650274 0.347757 0.455272 0.0003537970 0.0000006690 -0.0001279019 0.0000044737 -0.0000003273 0.0000510928 0.0025559725 0.0000065298 -0.0000021964 0.0025359936 -0.0000138369 0.0025224347
1403715281.06186 0.037504 -0.290112 0.306884 0.494300 -0.653929 0.343811 0.458081 0.0003537005 0.0000011553 -0.0001280342 0.0000044118 -0.0000004946 0.0000511596 0.0025581365 0.0000068720 -0.0000019714 0.0025366044 -0.0000138806 0.0025224224
1403715281.11186 0.041144 -0.299774 0.311468 0.489966 -0.656957 0.340956 0.460532 0.0003538656 0.0000011868 -0.0001278676 0.0000042999 -0.0000004856 0.0000509284 0.0025601702 0.0000071142 -0.0000016792 0.0025366421 -0.0000136153 0.0025222490
