# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1403715278.861717224121094,0.00351,0.00009,0.00100,0.00000,0.00000,0.00036,0.00496
1403715278.912527799606323,0.00350,0.00008,0.00298,0.00000,0.00741,0.00020,0.01418
1403715278.962409496307373,0.00357,0.00014,0.00032,0.00460,0.00000,0.00024,0.00888
1403715279.011834144592285,0.00321,0.00020,0.00006,0.00242,0.00000,0.00028,0.00617
1403715279.061730146408081,0.00512,0.00014,0.00012,0.00241,0.00000,0.00026,0.00805
1403715279.111766815185547,0.00346,0.00013,0.00049,0.00241,0.00000,0.00027,0.00677
1403715279.161964416503906,0.00275,0.00013,0.00005,0.00251,0.00000,0.00038,0.00582
1403715279.211960315704346,0.00274,0.00014,0.00001,0.00254,0.00000,0.00056,0.00599
1403715279.261791706085205,0.00236,0.00013,0.00001,0.00248,0.00471,0.00041,0.01010
1403715279.311793804168701,0.00341,0.00014,0.00001,0.00314,0.00000,0.00045,0.00715
1403715279.361801147460938,0.00248,0.00014,0.00001,0.00311,0.00627,0.00043,0.01245
1403715279.411853313446045,0.00364,0.00016,0.00080,0.00385,0.00000,0.00039,0.00885
1403715279.461951732635498,0.00376,0.00015,0.00107,0.00383,0.01149,0.00069,0.02098
1403715279.511966228485107,0.00328,0.00018,0.01115,0.00559,0.00005,0.00038,0.02061
1403715279.561909914016724,0.00379,0.00017,0.00003,0.00574,0.00000,0.00037,0.01010
1403715279.611824989318848,0.00345,0.00018,0.00003,0.00589,0.00000,0.00054,0.01010
1403715279.661836385726929,0.00353,0.00017,0.00003,0.00584,0.00004,0.00044,0.01005
1403715279.711807012557983,0.00458,0.00025,0.00003,0.00583,0.00000,0.00038,0.01107
1403715279.761811256408691,0.00329,0.00023,0.00003,0.00560,0.00000,0.00038,0.00953
1403715279.811856746673584,0.00477,0.00019,0.00003,0.00591,0.00000,0.00046,0.01136
1403715279.861802339553833,0.00310,0.00017,0.00005,0.00641,0.00000,0.00060,0.01033
1403715279.911682605743408,0.00312,0.00020,0.00014,0.00558,0.00000,0.00053,0.00958
1403715279.961679935455322,0.00245,0.00016,0.00004,0.00573,0.00003,0.00046,0.00888
1403715280.011631965637207,0.00274,0.00019,0.00001,0.00591,0.00000,0.00082,0.00967
1403715280.061510324478149,0.00251,0.00018,0.00115,0.00563,0.00024,0.00042,0.01013
1403715280.111434936523438,0.00362,0.00017,0.01055,0.00571,0.00010,0.00040,0.02054
1403715280.161781549453735,0.00310,0.00022,0.00015,0.00553,0.00000,0.00038,0.00939
1403715280.212119102478027,0.00257,0.00024,0.00002,0.00560,0.00000,0.00038,0.00883
1403715280.262426614761353,0.00315,0.00020,0.00073,0.00654,0.00000,0.00042,0.01104
1403715280.312521696090698,0.00319,0.00024,0.00002,0.00546,0.00000,0.00037,0.00927
1403715280.362545013427734,0.00322,0.00017,0.00005,0.00546,0.00000,0.00043,0.00934
1403715280.412503719329834,0.00292,0.00016,0.00041,0.00534,0.00276,0.00040,0.01199
1403715280.462332248687744,0.00323,0.00018,0.00001,0.00595,0.00000,0.00047,0.00983
1403715280.512253999710083,0.00531,0.00020,0.00011,0.00572,0.00000,0.00035,0.01171
1403715280.562136650085449,0.00340,0.00018,0.00103,0.00542,0.00000,0.00071,0.01073
1403715280.612118959426880,0.00361,0.00015,0.00015,0.00519,0.00000,0.00035,0.00946
1403715280.662000894546509,0.00337,0.00018,0.00003,0.00521,0.00139,0.00045,0.01064
1403715280.711952447891235,0.00340,0.00016,0.00832,0.00530,0.00144,0.00058,0.01921
1403715280.761902809143066,0.00493,0.00016,0.00065,0.00490,0.00000,0.00043,0.01107
1403715280.811872243881226,0.00274,0.00016,0.00013,0.00452,0.00000,0.00039,0.00794
1403715280.861873388290405,0.00337,0.00020,0.00011,0.00487,0.00000,0.00049,0.00903
1403715280.911878824234009,0.00572,0.00029,0.00090,0.00618,0.00000,0.00069,0.01377
1403715280.961886882781982,0.00292,0.00017,0.00038,0.00395,0.00247,0.00064,0.01053
1403715281.011872529983521,0.00903,0.00017,0.00023,0.00400,0.00000,0.00059,0.01402
1403715281.061861753463745,0.00299,0.00037,0.00002,0.00413,0.00000,0.00049,0.00800
1403715281.111863851547241,0.00361,0.00016,0.00008,0.00556,0.00722,0.00085,0.01748
1403715281.161884784698486,0.00479,0.00020,0.00060,0.00471,0.00000,0.00055,0.01085
1403715281.211940288543701,0.00467,0.00017,0.00086,0.00509,0.00000,0.00058,0.01137
1403715281.261985778808594,0.00338,0.00016,0.00006,0.00415,0.00269,0.00078,0.01122
1403715281.312038421630859,0.00308,0.00018,0.00526,0.00418,0.00679,0.00046,0.01994
1403715281.362106800079346,0.00303,0.00017,0.00007,0.00546,0.00000,0.00042,0.00915
1403715281.412161827087402,0.00301,0.00016,0.00035,0.00553,0.00000,0.00051,0.00957
1403715281.462264299392700,0.00412,0.00017,0.00536,0.00535,0.00609,0.00050,0.02159
1403715281.512224912643433,0.00339,0.00022,0.00055,0.00680,0.00000,0.00044,0.01140
1403715281.562224149703979,0.00400,0.00018,0.00013,0.00626,0.00000,0.00051,0.01109
1403715281.612209081649780,0.00279,0.00018,0.00023,0.00588,0.00053,0.00048,0.01010
1403715281.662202835083008,0.00377,0.00018,0.00001,0.00625,0.00000,0.00068,0.01089
1403715281.712182283401489,0.00325,0.00021,0.00055,0.00416,0.00004,0.00044,0.00865
1403715281.762099742889404,0.00373,0.00016,0.00583,0.00351,0.00855,0.00045,0.02224
1403715281.812121391296387,0.00481,0.00018,0.00018,0.00453,0.00018,0.00048,0.01037
1403715281.862112522125244,0.00360,0.00016,0.00043,0.00461,0.00023,0.00052,0.00956
1403715281.912112951278687,0.00311,0.00019,0.00016,0.00460,0.00918,0.00048,0.01772
1403715281.962114810943604,0.00395,0.00018,0.00004,0.00667,0.00000,0.00048,0.01132
1403715282.012114048004150,0.00351,0.00018,0.00001,0.00663,0.00000,0.00050,0.01084
1403715282.062091588973999,0.00298,0.00024,0.00447,0.00637,0.00131,0.00042,0.01578
1403715282.112067699432373,0.00680,0.00018,0.00008,0.00634,0.00022,0.00047,0.01410
1403715282.162135362625122,0.00293,0.00018,0.00008,0.00637,0.00018,0.00039,0.01013
1403715282.212129592895508,0.00288,0.00018,0.00008,0.00671,0.00020,0.00061,0.01065
1403715282.262111186981201,0.00278,0.00017,0.00005,0.00674,0.00000,0.00040,0.01014
1403715282.312107324600220,0.00356,0.00018,0.00095,0.00659,0.00017,0.00047,0.01191
1403715282.362094163894653,0.00387,0.00018,0.01304,0.00691,0.00000,0.00041,0.02441
1403715282.412003278732300,0.00269,0.00017,0.00015,0.00582,0.00000,0.00042,0.00926
1403715282.462029457092285,0.00267,0.00019,0.00019,0.00549,0.00125,0.00042,0.01022
1403715282.512020587921143,0.00387,0.00021,0.00005,0.00601,0.00000,0.00043,0.01058
1403715282.562026500701904,0.00273,0.00017,0.00013,0.00536,0.00000,0.00046,0.00885
