# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530314.59978 -0.102187 0.022160 0.044832 -0.004261 -0.036709 -0.998616 0.037424 0.0006494653 -0.0000000044 0.0000000389 0.0006494570 -0.0000000003 0.0006495882 0.0067254547 0.0000010795 0.0001382428 0.0067298753 -0.0000314045 0.0026075416
1520530314.64978 -0.118304 0.031075 0.062293 -0.003565 -0.038078 -0.998274 0.044577 0.0006819888 -0.0000000076 0.0000000692 0.0006819691 -0.0000000075 0.0006821737 0.0079758914 0.0000017852 0.0001833881 0.0079817095 -0.0000508270 0.0026287027
1520530314.69978 -0.134232 0.040205 0.083800 -0.005069 -0.038458 -0.997866 0.052531 0.0007164761 -0.0000000115 0.0000001086 0.0007164436 -0.0000000177 0.0007167568 0.0095051007 0.0000026508 0.0002365923 0.0095124433 -0.0000751397 0.0026528425
1520530314.74978 -0.149081 0.048661 0.107898 -0.009209 -0.039521 -0.997338 0.060589 0.0007529190 -0.0000000184 0.0000001596 0.0007528727 -0.0000000383 0.0007533360 0.0113502139 0.0000035771 0.0002963749 0.0113591111 -0.0001029256 0.0026800253
1520530314.79900 -0.274341 0.081677 0.129193 -0.000003 -0.043169 -0.996557 0.070785 0.0001442695 0.0000193190 0.0000069011 0.0001830044 0.0000032357 0.0007389336 0.0039990996 -0.0005290575 0.0000261422 0.0033384132 -0.0000140902 0.0026898269
1520530314.84984 -0.293337 0.085485 0.135939 -0.003914 -0.036116 -0.995723 0.084949 0.0000278281 0.0000029308 -0.0000029100 0.0000224797 0.0000225129 0.0004775299 0.0026092879 -0.0000160082 -0.0000212938 0.0026083158 -0.0000086129 0.0026063786
1520530314.89970 -0.315011 0.094549 0.161434 -0.007115 -0.024519 -0.995475 0.091527 0.0000281858 0.0000026991 -0.0000000356 0.0000197724 0.0000145167 0.0004549167 0.0026102033 -0.0000169905 -0.0000248903 0.0026098069 -0.0000065989 0.0026096395
1520530314.94971 -0.332909 0.102105 0.189168 -0.012150 -0.010905 -0.995161 0.096895 0.0000316356 0.0000030056 0.0000021991 0.0000208761 0.0000017379 0.0004605118 0.0026273950 -0.0000195256 -0.0000285075 0.0026189107 -0.0000040362 0.0026241951
1520530314.99983 -0.348464 0.108357 0.217425 -0.020170 0.001808 -0.994634 0.101453 0.0000354383 0.0000031228 0.0000070560 0.0000227801 -0.0000103385 0.0004654841 0.0026473349 -0.0000225940 -0.0000324456 0.0026281423 -0.0000003898 0.0026404310
1520530315.04980 -0.361422 0.114125 0.244508 -0.026718 0.011808 -0.994081 0.104639 0.0000394764 0.0000031027 0.0000110715 0.0000251037 -0.0000201514 0.0004694057 0.0026705557 -0.0000260357 -0.0000370245 0.0026379378 0.0000046451 0.0026575641
1520530315.10017 -0.368698 0.118812 0.266760 -0.028466 0.017904 -0.993739 0.106544 0.0000431256 0.0000035553 0.0000108601 0.0000272261 -0.0000256553 0.0004725645 0.0026882807 -0.0000277109 -0.0000369268 0.0026481018 0.0000087404 0.0026724711
1520530315.15022 -0.374393 0.123197 0.284845 -0.028003 0.020501 -0.993614 0.107363 0.0000458776 0.0000051228 0.0000079286 0.0000282506 -0.0000268400 0.0004752656 0.0026864372 -0.0000249003 -0.0000413495 0.0026571514 0.0000135621 0.0026860989
1520530315.19960 -0.378154 0.125687 0.294745 -0.029511 0.023059 -0.993293 0.109388 0.0000426031 0.0000028259 0.0000052668 0.0000274606 -0.0000282741 0.0004697488 0.0026992330 -0.0000198306 -0.0000364514 0.0026527949 0.0000180395 0.0026817837
1520530315.24920 -0.381578 0.129371 0.297009 -0.031441 0.026769 -0.993053 0.110188 0.0000399191 -0.0000009579 0.0000052343 0.0000263358 -0.0000329802 0.0004719876 0.0027023864 -0.0000120473 -0.0000232478 0.0026549076 0.0000213745 0.0026806798
1520530315.29913 -0.384044 0.131867 0.287336 -0.031733 0.031090 -0.992986 0.109568 0.0000281560 0.0000019104 0.0000181111 0.0000171085 -0.0000354557 0.0004509587 0.0026461533 -0.0000068405 -0.0000221279 0.0026356013 -0.0000003757 0.0026447370
1520530315.34916 -0.377604 0.131735 0.268410 -0.030758 0.032305 -0.992963 0.109705 0.0000229801 0.0000013894 0.0000194481 0.0000164258 -0.0000348804 0.0004460707 0.0026373076 0.0000029807 -0.0000299417 0.0026291100 -0.0000005607 0.0026324850
1520530315.39924 -0.372235 0.129600 0.243238 -0.028864 0.029065 -0.993292 0.108139 0.0000192934 0.0000001766 0.0000196721 0.0000123493 -0.0000296353 0.0004398888 0.0026068641 0.0000060886 -0.0000184252 0.0026233005 -0.0000038979 0.0026207811
1520530315.44912 -0.362189 0.127278 0.218361 -0.027751 0.019241 -0.993749 0.106408 0.0000104208 -0.0000011843 0.0000203492 0.0000069077 -0.0000187712 0.0004148402 0.0025660124 0.0000129267 -0.0000074157 0.0026065755 -0.0000084037 0.0025704798
