# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530314.798997640609741,0.00280,0.00011,0.00066,0.00000,0.00000,0.00030,0.00387
1520530314.849844455718994,0.00322,0.00009,0.00462,0.00000,0.00000,0.00031,0.00824
1520530314.899699449539185,0.00331,0.00009,0.00174,0.00000,0.00000,0.00029,0.00543
1520530314.949706077575684,0.00318,0.00009,0.00012,0.00000,0.00000,0.00027,0.00366
1520530314.999825477600098,0.00335,0.00010,0.00018,0.00000,0.00000,0.00038,0.00401
1520530315.049795150756836,0.00323,0.00009,0.00025,0.00000,0.00000,0.00034,0.00391
1520530315.100169181823730,0.00346,0.00009,0.00024,0.00000,0.00000,0.00037,0.00417
1520530315.150221347808838,0.00290,0.00009,0.00031,0.00000,0.00000,0.00049,0.00380
1520530315.199604988098145,0.00278,0.00010,0.00158,0.00000,0.00000,0.00048,0.00493
1520530315.249195575714111,0.00402,0.00011,0.00159,0.00000,0.00000,0.00050,0.00622
1520530315.299134731292725,0.00263,0.00010,0.00260,0.00000,0.00000,0.00049,0.00582
1520530315.349159002304077,0.00274,0.00010,0.00139,0.00000,0.00000,0.00053,0.00475
1520530315.399242639541626,0.00295,0.00010,0.00277,0.00000,0.00000,0.00060,0.00642
1520530315.449119567871094,0.00315,0.00010,0.01291,0.00000,0.00000,0.00054,0.01669
1520530315.499209642410278,0.00354,0.00010,0.00675,0.00000,0.00000,0.00055,0.01094
1520530315.549260377883911,0.00274,0.00010,0.00536,0.00000,0.00000,0.00075,0.00895
1520530315.599115848541260,0.00501,0.00011,0.00234,0.00000,0.00000,0.00052,0.00798
1520530315.649403333663940,0.00346,0.00010,0.00271,0.00000,0.00000,0.00053,0.00680
1520530315.699400424957275,0.00304,0.00010,0.00027,0.00000,0.00000,0.00058,0.00399
1520530315.799452543258667,0.00489,0.00016,0.00328,0.00000,0.00000,0.00075,0.00908
1520530315.849422454833984,0.00416,0.00010,0.00197,0.00000,0.00170,0.00078,0.00870
1520530315.899495601654053,0.00386,0.00010,0.00004,0.00011,0.00144,0.00056,0.00612
1520530315.949425697326660,0.00416,0.00010,0.00040,0.00017,0.00212,0.00050,0.00745
1520530315.999379873275757,0.00371,0.00011,0.00073,0.00032,0.00091,0.00058,0.00636
1520530316.049466133117676,0.00363,0.00011,0.00037,0.00038,0.00180,0.00057,0.00687
1520530316.099847078323364,0.00354,0.00011,0.00036,0.00051,0.01479,0.00059,0.01990
1520530316.149812936782837,0.00372,0.00013,0.00156,0.00288,0.00849,0.00055,0.01734
1520530316.199823856353760,0.00446,0.00015,0.00017,0.00369,0.00561,0.00132,0.01540
1520530316.249830245971680,0.00624,0.00015,0.00051,0.00479,0.00454,0.00048,0.01671
