# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1520530314.59978 -0.101920 0.024379 0.045127 -0.004404 -0.037011 -0.998613 0.037191 0.0006558431 -0.0000000045 0.0000000397 0.0006558346 -0.0000000004 0.0006559670 0.0069475009 0.0000011811 0.0001418609 0.0069518798 -0.0000352823 0.0026112539
1520530314.64978 -0.117980 0.033551 0.062612 -0.003720 -0.038390 -0.998272 0.044332 0.0006887669 -0.0000000079 0.0000000705 0.0006887468 -0.0000000078 0.0006889535 0.0082467103 0.0000019199 0.0001879034 0.0082524601 -0.0000560141 0.0026329563
1520530314.69978 -0.133843 0.042955 0.084144 -0.005234 -0.038779 -0.997866 0.052273 0.0007236542 -0.0000000119 0.0000001107 0.0007236209 -0.0000000184 0.0007239374 0.0098323114 0.0000028241 0.0002420800 0.0098395511 -0.0000818955 0.0026576945
1520530314.74978 -0.148621 0.051703 0.108266 -0.009386 -0.039850 -0.997339 0.060318 0.0007604966 -0.0000000190 0.0000001626 0.0007604491 -0.0000000393 0.0007609174 0.0117420559 0.0000037927 0.0003028547 0.0117508086 -0.0001114872 0.0026855324
1520530314.79889 -0.276871 0.083448 0.129437 0.000308 -0.043274 -0.996583 0.070348 0.0001325138 0.0000159044 -0.0000078138 0.0001802736 -0.0000020080 0.0007222929 0.0038588264 -0.0004849759 0.0000146023 0.0032168307 -0.0000084620 0.0026932593
1520530314.84992 -0.302177 0.088424 0.140796 -0.002010 -0.037321 -0.995952 0.081742 0.0000297720 0.0000036116 -0.0000044011 0.0000206742 0.0000214710 0.0004846814 0.0026195750 -0.0000196022 -0.0000212589 0.0026188013 -0.0000176765 0.0026153119
1520530314.90003 -0.320010 0.098097 0.164517 -0.005184 -0.025029 -0.995554 0.090662 0.0000279869 0.0000026644 -0.0000005395 0.0000175789 0.0000158629 0.0004618497 0.0026169855 -0.0000196665 -0.0000199624 0.0026201074 -0.0000138671 0.0026136026
1520530314.95011 -0.339551 0.105958 0.193121 -0.010072 -0.011488 -0.995293 0.095701 0.0000310691 0.0000030146 0.0000021480 0.0000180885 0.0000024969 0.0004667712 0.0026325550 -0.0000213898 -0.0000234812 0.0026257630 -0.0000087583 0.0026229084
1520530315.00027 -0.358083 0.113392 0.220948 -0.017521 0.001251 -0.994830 0.100024 0.0000340050 0.0000033962 0.0000079711 0.0000189975 -0.0000095523 0.0004710917 0.0026495972 -0.0000233091 -0.0000268811 0.0026342387 -0.0000058293 0.0026357625
1520530315.05018 -0.372269 0.119395 0.248652 -0.023926 0.011202 -0.994312 0.103182 0.0000378364 0.0000034719 0.0000118024 0.0000210023 -0.0000194663 0.0004759299 0.0026715718 -0.0000263423 -0.0000312049 0.0026441737 -0.0000013529 0.0026521350
1520530315.10026 -0.384440 0.125453 0.272590 -0.025181 0.017277 -0.994077 0.104300 0.0000412739 0.0000036019 0.0000121350 0.0000227799 -0.0000250816 0.0004801813 0.0026957671 -0.0000296685 -0.0000366796 0.0026542186 0.0000045321 0.0026702511
1520530315.15018 -0.395258 0.130380 0.290752 -0.024358 0.020265 -0.994045 0.104258 0.0000431743 0.0000041507 0.0000094781 0.0000244753 -0.0000275310 0.0004833118 0.0027241634 -0.0000344402 -0.0000425003 0.0026648284 0.0000101619 0.0026882355
1520530315.20063 -0.399231 0.133314 0.300328 -0.025238 0.021781 -0.993622 0.107721 0.0000389722 0.0000046850 0.0000158958 0.0000233211 -0.0000272390 0.0004677611 0.0026987172 -0.0000155293 -0.0000383560 0.0026511538 0.0000094498 0.0026717856
1520530315.24990 -0.401992 0.133338 0.299904 -0.027553 0.026801 -0.993530 0.106872 0.0000357056 0.0000019136 0.0000111640 0.0000227244 -0.0000319867 0.0004650983 0.0027108821 -0.0000088944 -0.0000300809 0.0026453269 0.0000096044 0.0026725602
