# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1520530314.798890113830566,0.00258,0.00009,0.00095,0.00000,0.00001,0.00032,0.00394
1520530314.849921226501465,0.00307,0.00009,0.00444,0.00000,0.00000,0.00035,0.00795
1520530314.900029659271240,0.00307,0.00010,0.00291,0.00000,0.00000,0.00030,0.00637
1520530314.950105667114258,0.00279,0.00009,0.00018,0.00000,0.00000,0.00034,0.00340
1520530315.000268697738647,0.00307,0.00009,0.00025,0.00000,0.00000,0.00030,0.00372
1520530315.050179243087769,0.00402,0.00009,0.00020,0.00000,0.00000,0.00034,0.00465
1520530315.100264787673950,0.00298,0.00010,0.00020,0.00000,0.00000,0.00042,0.00370
1520530315.150181293487549,0.00268,0.00011,0.00025,0.00000,0.00000,0.00055,0.00359
1520530315.200630903244019,0.00258,0.00010,0.00210,0.00000,0.00000,0.00049,0.00527
1520530315.249903678894043,0.00253,0.00010,0.00137,0.00000,0.00000,0.00050,0.00450
1520530315.299496650695801,0.00266,0.00010,0.00500,0.00000,0.00000,0.00052,0.00827
1520530315.349457979202271,0.00291,0.00009,0.00054,0.00000,0.00000,0.00047,0.00401
1520530315.399653434753418,0.00271,0.00010,0.00202,0.00000,0.00000,0.00051,0.00535
1520530315.449714899063110,0.00327,0.00010,0.01397,0.00000,0.00000,0.00057,0.01792
1520530315.499651908874512,0.00318,0.00010,0.00439,0.00000,0.00000,0.00052,0.00819
1520530315.549793004989624,0.00302,0.00010,0.00358,0.00000,0.00000,0.00049,0.00720
1520530315.599800586700439,0.00303,0.00010,0.00233,0.00000,0.00000,0.00048,0.00594
1520530315.650062799453735,0.00417,0.00009,0.00150,0.00000,0.00000,0.00047,0.00624
1520530315.700052976608276,0.00326,0.00010,0.00008,0.00000,0.00000,0.00055,0.00398
1520530315.750064611434937,0.00449,0.00016,0.00230,0.00000,0.00000,0.00051,0.00746
1520530315.800010204315186,0.00321,0.00010,0.00222,0.00000,0.00000,0.00049,0.00601
1520530315.849952936172485,0.00452,0.00010,0.00064,0.00000,0.00134,0.00051,0.00711
1520530315.899681806564331,0.00299,0.00010,0.00095,0.00011,0.00400,0.00048,0.00863
1520530315.949632883071899,0.00347,0.00011,0.00008,0.00036,0.00000,0.00047,0.00450
1520530315.999615192413330,0.00446,0.00011,0.00043,0.00036,0.00073,0.00050,0.00659
1520530316.049526929855347,0.00378,0.00011,0.00105,0.00042,0.02106,0.00047,0.02688
1520530316.099965810775757,0.00361,0.00015,0.00191,0.00308,0.00783,0.00044,0.01701
1520530316.149907588958740,0.00300,0.00016,0.00071,0.00407,0.00453,0.00046,0.01293
1520530316.199909925460815,0.00335,0.00016,0.00050,0.00467,0.00230,0.00043,0.01140
1520530316.249927997589111,0.00380,0.00015,0.00063,0.00556,0.00257,0.00043,0.01314
1520530316.299948930740356,0.00325,0.00016,0.00031,0.00512,0.00000,0.00039,0.00924
1520530316.350007772445679,0.00331,0.00015,0.00405,0.00509,0.00687,0.00044,0.01992
1520530316.400018930435181,0.00340,0.00017,0.00348,0.00680,0.00000,0.00053,0.01438
1520530316.450017452239990,0.00355,0.00017,0.00020,0.00651,0.00000,0.00043,0.01087
1520530316.500017404556274,0.00306,0.00019,0.00339,0.00663,0.00000,0.00049,0.01375
1520530316.550041675567627,0.00301,0.00021,0.00014,0.00639,0.00000,0.00040,0.01015
1520530316.600022077560425,0.00294,0.00018,0.00030,0.00591,0.00127,0.00066,0.01127
1520530316.649995088577271,0.00283,0.00016,0.00050,0.00564,0.00000,0.00052,0.00966
1520530316.700034856796265,0.00314,0.00016,0.00070,0.00579,0.00412,0.00044,0.01436
1520530316.749998569488525,0.00264,0.00017,0.00119,0.00657,0.00000,0.00050,0.01107
1520530316.799950599670410,0.00288,0.00017,0.00235,0.00628,0.00019,0.00051,0.01237
1520530316.849910259246826,0.00294,0.00018,0.00122,0.00644,0.00000,0.00043,0.01120
1520530316.899867534637451,0.00283,0.00017,0.00443,0.00642,0.00132,0.00048,0.01567
1520530316.949334621429443,0.00349,0.00016,0.00248,0.00533,0.00000,0.00043,0.01189
1520530316.999309062957764,0.00278,0.00018,0.00076,0.00531,0.00247,0.00047,0.01196
1520530317.049288749694824,0.00313,0.00016,0.00006,0.00568,0.00000,0.00038,0.00942
1520530317.099267005920410,0.00314,0.00022,0.00379,0.00575,0.00459,0.00045,0.01793
1520530317.149254322052002,0.00317,0.00018,0.00022,0.00666,0.00000,0.00063,0.01086
1520530317.199251413345337,0.00311,0.00017,0.00051,0.00651,0.00018,0.00045,0.01094
1520530317.249281883239746,0.00341,0.00018,0.00532,0.00679,0.00000,0.00055,0.01625
1520530317.299304485321045,0.00302,0.00017,0.00107,0.00620,0.00000,0.00042,0.01089
